,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
82,2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,2021-01-01,21,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,45.93895,3
83,2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,2021-01-01,21,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.87743,4
84,2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,2021-01-01,22,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,43.46153,1
85,2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,2021-01-01,22,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.0,2
86,2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,2021-01-01,22,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,42.72663,3
87,2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,2021-01-01,22,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.7349,4
88,2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,2021-01-01,23,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,39.52364,1
89,2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,2021-01-01,23,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.0,2
90,2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,2021-01-01,23,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,38.45834,3
91,2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,2021-01-01,23,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,1.0653,4
